Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,1663215827.6113,2097166100.70413,2571297262.5312,1806943054.57821,835605678.973274,1281911084.58752,779433349.004337,441230927.781088,314378125.856731,621045042.723522,504479752.8129,597448826.115558,..,..,..
Afghanistan,AFG,Commercial service imports (current US$),TM.VAL.SERV.CD.WT,789495791.599998,1056503689.94179,1519608093.96036,1735005013.8936,1456533281.49994,1453639266.54777,1172512975.76664,1071779849.3426,1192899875.59683,1311322353.19222,1160038557.82467,1042224098.23832,..,..,..
Afghanistan,AFG,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Afghanistan,AFG,Completeness of birth registration (%),SP.REG.BRTH.ZS,..,..,37.4,..,..,..,42.3,..,..,..,..,..,..,..,..
Afghanistan,AFG,Consumer price index (2010 = 100),FP.CPI.TOTL,97.8679108385313,100,111.804185808913,119.005731346616,127.795223073732,133.768366733582,132.883209191418,138.708665508891,145.610741438593,146.52248185721,149.895975208032,..,..,..,..
Afghanistan,AFG,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,10739033.8,10431611.1,10326866.7,14850800.8,25088493.4,42203307.6,56234850.6,59621162.6,63232789.7,63115845.8,55575662.9,45904311.7,25997304.5,26580940.3,43570332.3
Afghanistan,AFG,"Depositors with commercial banks (per 1,000 adults)",FB.CBK.DPTR.P3,87.4871335244973,105.885738960954,139.437507392422,166.112814752456,155.781150736183,172.807292014651,181.087283116419,182.145249057546,166.16705068961,174.299114520728,183.287306224905,..,..,..,..
Afghanistan,AFG,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS,..,9.03217,8.98621,12.74171,11.75683,12.41128,15.95379,..,..,..,..,..,..,..,..
Afghanistan,AFG,Expenditure on secondary education (% of government expenditure on education),SE.XPD.SECO.ZS,..,26.69373,26.62432,25.39486,25.77935,25.39206,24.3563,21.83389,22.25369,..,..,..,..,..,..
Afghanistan,AFG,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,..,62.13647,61.97491,59.11301,60.00801,59.1065,56.69549,43.30205,44.1906,..,..,..,..,..,..
Afghanistan,AFG,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,-25.8682602741689,-22.727410779653,-36.1253848053787,-33.7230707114777
Afghanistan,AFG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.235,6.099,5.958,5.83,5.696,5.56,5.405,5.262,5.129,5.002,4.87,4.75,4.643,4.523,..
Afghanistan,AFG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,56107246.5,190774431.98,52173421,56823660,48311346,42975262.5,169146608,93591315.3,51533896.765,119435105.715177,23404553.647249,12970147.9832,30790960,..,..
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,17.0438963216074,11.0550305527288,-3.21329500579925,8.27936899310519,2.0520682606117,-0.939984755736006,-1.66505744749013,-0.300121027406746,-0.195569548342789,-1.71374269254262,0.856294729087764,-5.38251464221077,-22.5844818732987,-7.57666891152213,0.540655554216826
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,452.053705477043,560.621505463146,606.694676337726,651.417134470046,637.087099117099,625.054941813938,565.569730408751,522.082215583898,525.469770891619,491.337221382603,496.6025042585,510.787063366811,356.496214115892,357.261152798144,415.707417059086
Afghanistan,AFG,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,11.5,13,16.7,15.2
Afghanistan,AFG,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,-14.4125667930104,-9.74070711301084,-19.456991010884,-18.5717471890027
Afghanistan,AFG,Gross fixed capital formation (constant 2015 US$),NE.GDI.FTOT.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,..,..,..,..,..,0,0,..,..,..,..
Afghanistan,AFG,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,7.00512866685065,8.96740986458065,8.06525254653196,6.72742833341948,15.6498843660628,8.61398975535739,9.78654507361187,14.9342855823966,15.6642261205454,9.97759368519341,8.24454575651439,7.82851624017411,..,..,..
Afghanistan,AFG,"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,..
Afghanistan,AFG,"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,13.0053974709896,13.416947251776,16.0441361978755,9.38050283998142,11.4828640119098,12.634543045441,14.1300865107337,27.4178656915167,29.0292564406936,22.3653423689081,14.1792036951249,8.41320002003349,6.24135737765832,9.06434489776439,..
Afghanistan,AFG,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Income share held by lowest 10%,SI.DST.FRST.10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-6.81116108898993,2.17853752389414,11.8041858089129,6.44121280934117,7.38577178397855,4.67399603536305,-0.66170916471352,4.38389195513893,4.97595150553892,0.626149149168983,2.30237251516819,..,..,..,..
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.364,60.851,61.419,61.923,62.417,62.545,62.659,63.136,63.016,63.081,63.565,62.575,61.982,62.879,..
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,31,..,..,..,33.7538414001465,..,..,..,..,..,37,..,..
Afghanistan,AFG,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,0.481350004673004,0.497850000858307,0.554260015487671,0.557489991188049,0.552259981632233,0.556400001049042,0.557900011539459,0.571280002593994,0.568419992923737,0.57098001241684,..,..,..,..,..
Afghanistan,AFG,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Time required to start a business (days),IC.REG.DURS,9.5,9.5,9.5,9.5,6.5,8.5,8.5,8.5,8.5,8.5,8.5,..,..,..,..
